Roadway.Name,From,To,id,ZIP CODE
FARMERS BOULEVARD,TIOGA DRIVE,SUFFOLK DRIVE,1149,
FARMERS BOULEVARD,115 ROAD,115 DRIVE,1150,
FARRAGUT ROAD,BEDFORD AVENUE,EAST 24 STREET,1151,
FDR DRIVE,EAST 10 STREET PEDESTRIAN OVERPASS,EAST 13TH STREET,1152,
FDR DRIVE,99 STREET,100 STREET,1153,
FDR DRIVE,57 STREET,56 STREET,1154,
FDR DRIVE,119 STREET,EAST 120 STREET PEDESTRIAN OVERPASS,1155,
FDR DRIVE,EAST 130 STREET,EAST 129 STREET,1156,
FDR DRIVE,STANTON STREET,EAST HOUSTON STREET,1157,
FDR DRIVE,EAST 103 STREET FOOTBRIDGE,102 STREET,1158,
FDR DRIVE,EAST 42 STREET,EAST 43 STREET,1159,
FDR DRIVE,PIKE SLIP,RUTGERS SLIP,1160,
FDR DRIVE VIADUCT,WHITEHALL STREET,STATE STREET,1161,
FINGERBOARD ROAD,CLEVELAND PLACE,COLUMBIA AVENUE,1162,
FLATBUSH AVE,CATON AVE,CLARKSON AVE,1163,
FLATBUSH AVENUE,EAST 28 STREET,EAST 29 STREET,1164,
FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,1165,
FLATBUSH AVENUE,AVENUE M,BAUGHMAN PLACE,1166,
FLATBUSH AVENUE,AVIATION ROAD,MARINE PARKWAY BRIDGE,1167,
FLATBUSH AVENUE,GLENWOOD ROAD,EAST 29 STREET,1168,
FLATBUSH AVENUE,CLARKSON AVENUE,LENOX ROAD,1169,
FLATBUSH AVENUE,STATE STREET,SCHERMERHORN STREET,1170,
FLATBUSH AVENUE,EASTERN PARKWAY LINE,EASTERN PARKWAY LINE,1171,
FLATBUSH AVENUE,GLENWOOD ROAD,EAST 29TH STREET,1172,
FLATLANDS AVE,LOUISIANA AVE,MALTA ST,1173,
FLATLANDS AVENUE,EAST 78 STREET,EAST 79 STREET,1174,
FLATLANDS AVENUE,TROY AVENUE,AVENUE L,1175,
FLATLANDS AVENUE,LOUISIANA AVENUE,MALTA STREET,1176,
FLATLANDS AVENUE,EAST 108TH STREET,WILLIAMS AVENUE,1177,
FLATLANDS AVENUE,EAST 78TH STREET,EAST 79TH STREET,1178,
FLUSHING AVE,THORNTON ST,WHIPPLE ST,1179,
FLUSHING AVENUE,CYPRESS AVENUE,SENECA AVENUE,1180,
FLUSHING AVENUE,53 STREET,54 STREET,1181,
FLUSHING AVENUE,RYERSON STREET,GRAND AVENUE,1182,
FLUSHING AVENUE,METROPOLITAN AVENUE,53 STREET,1183,
FLUSHING AVENUE,SENECA AVENUE,ONDERDONK AVENUE,1184,
FLUSHING AVENUE,WHIPPLE STREET,THORNTON STREET,1185,
FLUSHING AVENUE,DEAD END,53 STREET,1186,
FOREST AVE,EUNICE PLACE,SIMONSON AVE,1187,
FOREST AVE,RAYMOND PLACE,MANOR RD,1188,
FOREST AVE,EUNICE PL,SIMONSON AVE,1189,
FOREST AVENUE,GREENE AVENUE,BLEECKER STREET,1190,
FOREST AVENUE,SIMONSON AVENUE,EUNICE PLACE,1191,
FOREST AVENUE,RAYMOND PLACE,MANOR ROAD,1192,
FORSYTH STREET,RIVINGTON STREET,STANTON STREET,1193,
FORSYTH STREET,BROOME STREET,DELANCEY STREET,1194,
FORSYTH STREET,GRAND STREET,BROOME STREET,1195,
FORT HAMILTON PARKWAY,CHESTER AVENUE,36 STREET,1196,
FORT WASHINGTON AVENUE,WEST 173RD STREET,WEST 172ND STREET,1197,
FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,1198,
FOSTER ROAD,RATHBUN AVENUE,RAMONA AVENUE,1199,
FOUNTAIN AVENUE,DUMONT AVENUE,HEGEMAN AVENUE,1200,
FRANCIS LEWIS BLVD,115 DRIVE,115 ROAD,1201,
FRANCIS LEWIS BOULEVARD,115 ROAD,115 DRIVE,1202,
FRANCIS LEWIS BOULEVARD,EPSOM COURSE,204 STREET,1203,
FRANCIS LEWIS BOULEVARD,STATION ROAD,42 AVENUE,1204,
FRANCIS LEWIS BOULEVARD,86 ROAD,WHITEHALL TERRACE,1205,
FRANCIS LEWIS BOULEVARD,37 AVENUE,38 AVENUE,1206,
FRANCIS LEWIS BOULEVARD,LONG ISLAND EXPRESSWAY,73 AVENUE,1207,
FRANCIS LEWIS BOULEVARD,CROCHERON AVENUE,200 STREET,1208,
FRANCIS LEWIS BOULEVARD,DEAD END,200 STREET,1209,
FRANCIS LEWIS BOULEVARD,DEAD END,DEAD END,1210,
FRANCIS LEWIS BOULEVARD,115TH AVENUE,115TH ROAD,1211,
FRANCIS LEWIS BOULEVARD,HORACE HARDING EXPY,73RD AVENUE,1212,
FRANCIS LEWIS BOULEVARD,204TH STREET,WHITEHALL TERRACE,1213,
FRANKLIN AV,JEFFERSON AV,HANCOCK ST,1214,
FRANKLIN AVE,DEAN STREET,BERGEN STREET,1215,
FRANKLIN AVENUE,DEAN STREET,BERGEN STREET,1216,
FRANKLIN AVENUE,JEFFERSON AVENUE,HANCOCK STREET,1217,
FRANKLIN AVENUE,BERGEN STREET,ST MARKS AVENUE,1218,
FRANKLIN AVENUE,PUTNAM AVENUE,JEFFERSON AVENUE,1219,
FRANKLIN AVENUE,HANCOCK STREET,FULTON STREET,1220,
FREDERICK DOUGLASS BOULEVARD,WEST 123 STREET,WEST 124 STREET,1221,
FREDERICK DOUGLASS BOULEVARD,WEST 147 STREET,WEST 148 STREET,1222,
FREDERICK DOUGLASS BOULEVARD,WEST 123RD STREET,WEST 124TH STREET,1223,
FREDERICK DOUGLASS BOULEVARD,WEST 147TH STREET,WEST 148TH STREET,1224,
FRESH MEADOW LANE,HORACE HARDING EXPRESSWAY,65 AVENUE,1225,
FRESH MEADOW LANE,HORACE HARDING EXPRESSWAY SR. S,65 AVENUE,1226,
FRESH POND ROAD,GATES AVENUE,PALMETTO STREET,1227,
FT HAMILTON PARKWAY,36 STREET,CHESTER AVENUE,1228,
FT HAMILTON PARKWAY,67 STREET,68 STREET,1229,
FT HAMILTON PARKWAY,66 STREET,67 STREET,1230,
FT HAMILTON PARKWAY,CHESTER AVENUE,36 STREET,1231,
FT HAMILTON PARKWAY,66TH STREET,67TH STREET,1232,
FT WASHINGTON AVENUE,WEST 172 STREET,WEST 173 STREET,1233,
FT. HAMILTON PARKWAY,66 STREET,67 STREET,1234,
FTELEY AVENUE,EAST 174 STREET,BRONX RIVER PKWY NB ET 4 N-S,1235,
FULTON AVENUE,CLAVER PLACE,FRANKLIN AVENUE,1236,
FULTON AVENUE,EAST 172 STREET,EAST 173 STREET,1237,
FULTON STREET,GEORGIA AVENUE,SHEFFIELD AVENUE,1238,
FULTON STREET,DUTCH STREET,NASSAU STREET,1239,
FULTON STREET,CLERMONT AVENUE,VANDERBILT AVENUE,1240,
FULTON STREET,CLAVER PLACE,FRANKLIN AVENUE,1241,
FULTON STREET,SHEFFIELD AVENUE,GEORGIA AVENUE,1242,
FULTON STREET,NASSAU STREET,DUTCH STREET,1243,
FULTON STREET,FULTON STREET LINE,FULTON STREET LINE,1244,
FULTON STREET,GEORGIA AVENUE,JAMAICA LINE,1245,
FULTON STREET,CLASSON AVENUE,CLAVER PLACE,1246,
FULTON STREET,8 AVENUE LINE,8 AVENUE LINE,1247,
GARRISON AVENUE,LONGWOOD AVENUE,BURNETT PLACE,1248,
GATES AVENUE,CLASSON AVENUE,FRANKLIN AVENUE,1249,
GATES AVENUE,TOMPKINS AVENUE,THROOP AVENUE,1250,
GERARD AVENUE,EAST 150 STREET,EAST 151 STREET,1251,
GERARD AVENUE,150 STREET,151 STREET,1252,
GERARD AVENUE,EAST 150TH STREET,EAST 151ST STREET,1253,
