Roadway.Name,From,To,id,ZIP CODE,int1,int2,zip1,zip2
COLONIAL ROAD,WAKEMAN PLACE,68 STREET,847,,COLONIAL+ROAD+%26+WAKEMAN+PLACE,COLONIAL+ROAD+%26+68+STREET,11220,11220
COLONIAL ROAD,67 STREET,SENATOR STREET,848,,COLONIAL+ROAD+%26+67+STREET,COLONIAL+ROAD+%26+SENATOR+STREET,11220,11220
COLUMBIA STREET,DE GRAW STREET,KANE STREET,849,,COLUMBIA+STREET+%26+DE+GRAW+STREET,COLUMBIA+STREET+%26+KANE+STREET,11231,11201
COLUMBIA STREET,KANE STREET,IRVING STREET,850,,COLUMBIA+STREET+%26+KANE+STREET,COLUMBIA+STREET+%26+IRVING+STREET,11201,CTYPE
COLUMBUS AVE,WEST 103 ST,WEST 100 ST,851,,COLUMBUS+AVE+%26+WEST+103+ST,COLUMBUS+AVE+%26+WEST+100+ST,CTYPE,10025
COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,852,,COLUMBUS+AVENUE+%26+WEST+61+STREET,COLUMBUS+AVENUE+%26+WEST+62+STREET,10023,10023
COLUMBUS AVENUE,WEST 73 STREET,WEST 74 STREET,853,,COLUMBUS+AVENUE+%26+WEST+73+STREET,COLUMBUS+AVENUE+%26+WEST+74+STREET,10023,10023
COLUMBUS AVENUE,WEST 100 STREET,WEST 101 STREET,854,,COLUMBUS+AVENUE+%26+WEST+100+STREET,COLUMBUS+AVENUE+%26+WEST+101+STREET,10025,CTYPE
COLUMBUS AVENUE,DEAD END,DEAD END,855,,COLUMBUS+AVENUE+%26+DEAD+END,COLUMBUS+AVENUE+%26+DEAD+END,CTYPE,CTYPE
COLUMBUS AVENUE,WEST 73RD STREET,WEST 74RD STREET,856,,COLUMBUS+AVENUE+%26+WEST+73RD+STREET,COLUMBUS+AVENUE+%26+WEST+74RD+STREET,10023,CTYPE
COLUMBUS CIRCLE,BROADWAY,8 AVENUE,857,,COLUMBUS+CIRCLE+%26+BROADWAY,COLUMBUS+CIRCLE+%26+8+AVENUE,10023,10023
COLUMBUS CIRCLE EB,CENTRAL PARK SOUTH,BROADWAY,858,,COLUMBUS+CIRCLE+EB+%26+CENTRAL+PARK+SOUTH,COLUMBUS+CIRCLE+EB+%26+BROADWAY,CTYPE,CTYPE
COLUMBUS CIRCLE NB,CENTRAL PARK SOUTH,BROADWAY,859,,COLUMBUS+CIRCLE+NB+%26+CENTRAL+PARK+SOUTH,COLUMBUS+CIRCLE+NB+%26+BROADWAY,CTYPE,CTYPE
COMMERCIAL ST,CLAY ST,BOX ST,860,,COMMERCIAL+ST+%26+CLAY+ST,COMMERCIAL+ST+%26+BOX+ST,11222,11222
COMMERCIAL STREET,CLAY STREET,BOX STREET,861,,COMMERCIAL+STREET+%26+CLAY+STREET,COMMERCIAL+STREET+%26+BOX+STREET,11222,11222
COMMONWEALTH BOULEVARD,86 AVENUE,86 ROAD,862,,COMMONWEALTH+BOULEVARD+%26+86+AVENUE,COMMONWEALTH+BOULEVARD+%26+86+ROAD,11426,11426
COMMONWEALTH BOULEVARD,86 AVENUE,85 ROAD,863,,COMMONWEALTH+BOULEVARD+%26+86+AVENUE,COMMONWEALTH+BOULEVARD+%26+85+ROAD,11426,11426
COMMONWEALTH BOULEVARD,85 ROAD,86 AVENUE,864,,COMMONWEALTH+BOULEVARD+%26+85+ROAD,COMMONWEALTH+BOULEVARD+%26+86+AVENUE,11426,11426
CONCOURSE VILLAGE WEST,EAST 156 STREET,EAST 156 STREET,865,,CONCOURSE+VILLAGE+WEST+%26+EAST+156+STREET,CONCOURSE+VILLAGE+WEST+%26+EAST+156+STREET,10451,10451
CONEY ISLAND AVE,AVE S,AVE T,866,,CONEY+ISLAND+AVE+%26+AVE+S,CONEY+ISLAND+AVE+%26+AVE+T,11223,11223
CONEY ISLAND AVE,CATON AVE,CHURCH AVE,867,,CONEY+ISLAND+AVE+%26+CATON+AVE,CONEY+ISLAND+AVE+%26+CHURCH+AVE,11218,11218
CONEY ISLAND AVENUE,FOSTER AVENUE,NEWKIRK AVENUE,868,,CONEY+ISLAND+AVENUE+%26+FOSTER+AVENUE,CONEY+ISLAND+AVENUE+%26+NEWKIRK+AVENUE,11230,11230
CONEY ISLAND AVENUE,HOMECREST COURT,AVENUE T,869,,CONEY+ISLAND+AVENUE+%26+HOMECREST+COURT,CONEY+ISLAND+AVENUE+%26+AVENUE+T,11223,11223
CONEY ISLAND AVENUE,PARKVILLE AVENUE,FOSTER AVENUE,870,,CONEY+ISLAND+AVENUE+%26+PARKVILLE+AVENUE,CONEY+ISLAND+AVENUE+%26+FOSTER+AVENUE,11230,11230
CONEY ISLAND AVENUE,FRIEL PLACE,CHURCH AVENUE,871,,CONEY+ISLAND+AVENUE+%26+FRIEL+PLACE,CONEY+ISLAND+AVENUE+%26+CHURCH+AVENUE,11218,11218
CONNER STREET,HOLLERS AVENUE,BOSTON ROAD,872,,CONNER+STREET+%26+HOLLERS+AVENUE,CONNER+STREET+%26+BOSTON+ROAD,10475,10466
COOPER AVE,DEAD END,14 ST/ CANARSIE LINE,873,,COOPER+AVE+%26+DEAD+END,COOPER+AVE+%26+14+ST/+CANARSIE+LINE,CTYPE,CTYPE
COOPER AVENUE,WYCKOFF AVENUE,ST FELIX AVENUE,874,,COOPER+AVENUE+%26+WYCKOFF+AVENUE,COOPER+AVENUE+%26+ST+FELIX+AVENUE,11385,11385
COOPER AVENUE,76 STREET,78 STREET,875,,COOPER+AVENUE+%26+76+STREET,COOPER+AVENUE+%26+78+STREET,11379,11379
COOPER AVENUE,83 STREET,84 STREET,876,,COOPER+AVENUE+%26+83+STREET,COOPER+AVENUE+%26+84+STREET,11379,11379
COOPER AVENUE,ST FELIX AVENUE,WYCKOFF AVENUE,877,,COOPER+AVENUE+%26+ST+FELIX+AVENUE,COOPER+AVENUE+%26+WYCKOFF+AVENUE,11385,11385
COOPER AVENUE,WYCKOFF AVENUE,IRVING AVENUE,878,,COOPER+AVENUE+%26+WYCKOFF+AVENUE,COOPER+AVENUE+%26+IRVING+AVENUE,11385,11385
COOPER AVENUE,79TH STREET,78TH STREET,879,,COOPER+AVENUE+%26+79TH+STREET,COOPER+AVENUE+%26+78TH+STREET,11385,11379
CORONA AVE,94 ST,JUNCTION BLVD,880,,CORONA+AVE+%26+94+ST,CORONA+AVE+%26+JUNCTION+BLVD,11368,11368
CORONA AVENUE,ALSTYNE AVENUE,94 STREET,881,,CORONA+AVENUE+%26+ALSTYNE+AVENUE,CORONA+AVENUE+%26+94+STREET,11368,11368
CORONA AVENUE,92 STREET,93 STREET,882,,CORONA+AVENUE+%26+92+STREET,CORONA+AVENUE+%26+93+STREET,11373,11373
CORONA AVENUE,94 STREET,JUNCTION BOULEVARD,883,,CORONA+AVENUE+%26+94+STREET,CORONA+AVENUE+%26+JUNCTION+BOULEVARD,11368,11368
CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,884,,CORTELYOU+ROAD+%26+EAST+11+STREET,CORTELYOU+ROAD+%26+EAST+12+STREET,CTYPE,CTYPE
CORTELYOU ROAD,STRATFORD ROAD,WESTMINSTER ROAD,885,,CORTELYOU+ROAD+%26+STRATFORD+ROAD,CORTELYOU+ROAD+%26+WESTMINSTER+ROAD,11218,11218
CORTLANDT ALLEY,WALKER STREET,WHITE STREET,886,,CORTLANDT+ALLEY+%26+WALKER+STREET,CORTLANDT+ALLEY+%26+WHITE+STREET,10013,10013
COURT STREET,DE GRAW STREET,SACKETT STREET,887,,COURT+STREET+%26+DE+GRAW+STREET,COURT+STREET+%26+SACKETT+STREET,11231,11231
COURTLADT AVENUE,EAST 153 STREET,EAST 154 STREET,888,,COURTLADT+AVENUE+%26+EAST+153+STREET,COURTLADT+AVENUE+%26+EAST+154+STREET,CTYPE,CTYPE
COURTLANDT AVENUE,EAST 154 STREET,EAST 155 STREET,889,,COURTLANDT+AVENUE+%26+EAST+154+STREET,COURTLANDT+AVENUE+%26+EAST+155+STREET,10451,10451
COURTLANDT AVENUE,EAST 155 STREET,EAST 154 STREET,890,,COURTLANDT+AVENUE+%26+EAST+155+STREET,COURTLANDT+AVENUE+%26+EAST+154+STREET,10451,10451
COURTLANDT AVENUE,153 STREET,EAST 154 STREET,891,,COURTLANDT+AVENUE+%26+153+STREET,COURTLANDT+AVENUE+%26+EAST+154+STREET,10451,10451
COURTLANDT AVENUE,EAST 153RD STREET,EAST 154TH STREET,892,,COURTLANDT+AVENUE+%26+EAST+153RD+STREET,COURTLANDT+AVENUE+%26+EAST+154TH+STREET,10451,10451
CRESCENT STREET,34 AVENUE,35 AVENUE,893,,CRESCENT+STREET+%26+34+AVENUE,CRESCENT+STREET+%26+35+AVENUE,11106,11106
CRESCENT STREET,35 AVENUE,36 AVENUE,894,,CRESCENT+STREET+%26+35+AVENUE,CRESCENT+STREET+%26+36+AVENUE,11106,11106
CRESCENT STREET,34TH AVENUE,35TH AVENUE,895,,CRESCENT+STREET+%26+34TH+AVENUE,CRESCENT+STREET+%26+35TH+AVENUE,11106,11106
CROPSEY AVE,BAY 22ND ST,BAY 23RD ST,896,,CROPSEY+AVE+%26+BAY+22ND+ST,CROPSEY+AVE+%26+BAY+23RD+ST,11214,11214
CROPSEY AVE,7TH AVE,14TH AVE,897,,CROPSEY+AVE+%26+7TH+AVE,CROPSEY+AVE+%26+14TH+AVE,CTYPE,CTYPE
CROPSEY AVE,27TH AVE,BAY 26TH ST,898,,CROPSEY+AVE+%26+27TH+AVE,CROPSEY+AVE+%26+BAY+26TH+ST,11214,11214
CROPSEY AVENUE,27 AVENUE,BAY 46 STREET,899,,CROPSEY+AVENUE+%26+27+AVENUE,CROPSEY+AVENUE+%26+BAY+46+STREET,11214,11214
CROPSEY AVENUE,BAY 46 STREET,27 AVENUE,900,,CROPSEY+AVENUE+%26+BAY+46+STREET,CROPSEY+AVENUE+%26+27+AVENUE,11214,11214
CROPSEY AVENUE,BAY 22TH STREET,BAY 23RD STREET,901,,CROPSEY+AVENUE+%26+BAY+22TH+STREET,CROPSEY+AVENUE+%26+BAY+23RD+STREET,CTYPE,11214
CROSS BAY BOULEVARD,163 AVENUE,164 AVENUE,902,,CROSS+BAY+BOULEVARD+%26+163+AVENUE,CROSS+BAY+BOULEVARD+%26+164+AVENUE,11414,11414
CROSS BAY BOULEVARD,EAST 1 ROAD,65 AVENUE,903,,CROSS+BAY+BOULEVARD+%26+EAST+1+ROAD,CROSS+BAY+BOULEVARD+%26+65+AVENUE,11693,CTYPE
CROSS BAY BOULEVARD,165 AVENUE,1 ROAD/WEST ROAD,904,,CROSS+BAY+BOULEVARD+%26+165+AVENUE,CROSS+BAY+BOULEVARD+%26+1+ROAD/WEST+ROAD,11414,CTYPE
CROSS BAY BOULEVARD,165TH AVENUE,EAST 6TH RD,905,,CROSS+BAY+BOULEVARD+%26+165TH+AVENUE,CROSS+BAY+BOULEVARD+%26+EAST+6TH+RD,11414,11693
CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,906,,CROSS+BRONX+EXPRESSWAY+%26+MORRIS+AVENUE,CROSS+BRONX+EXPRESSWAY+%26+WEEKS+AVENUE,10457,10457
CROSS BRONX EXPRESSWAY,MARMION AVENUE,PROSPECT AVENUE,907,,CROSS+BRONX+EXPRESSWAY+%26+MARMION+AVENUE,CROSS+BRONX+EXPRESSWAY+%26+PROSPECT+AVENUE,CTYPE,CTYPE
CROSS BRONX EXPRESSWAY,CROTONA PARKWAY,DALY AVENUE,908,,CROSS+BRONX+EXPRESSWAY+%26+CROTONA+PARKWAY,CROSS+BRONX+EXPRESSWAY+%26+DALY+AVENUE,10457,CTYPE
CROSS BRONX EXPRESSWAY,ROSEDALE AVENUE,COMMONWEALTH AVENUE,909,,CROSS+BRONX+EXPRESSWAY+%26+ROSEDALE+AVENUE,CROSS+BRONX+EXPRESSWAY+%26+COMMONWEALTH+AVENUE,10472,10472
CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,910,,CROSS+BRONX+EXPRESSWAY+%26+BOSTON+ROAD,CROSS+BRONX+EXPRESSWAY+%26+CROTONA+PARKWAY,10460,10457
CROSS BRONX EXPRESSWAY,NOBLE AVENUE,ROSEDALE AVENUE,911,,CROSS+BRONX+EXPRESSWAY+%26+NOBLE+AVENUE,CROSS+BRONX+EXPRESSWAY+%26+ROSEDALE+AVENUE,10460,10472
CROSS BRONX EXPRESSWAY,PROSPECT AVENUE,MARMION AVENUE,912,,CROSS+BRONX+EXPRESSWAY+%26+PROSPECT+AVENUE,CROSS+BRONX+EXPRESSWAY+%26+MARMION+AVENUE,CTYPE,CTYPE
CROSS BRONX EXPRESSWAY,MORRIS AVENUE,EASTBURN AVENUE,913,,CROSS+BRONX+EXPRESSWAY+%26+MORRIS+AVENUE,CROSS+BRONX+EXPRESSWAY+%26+EASTBURN+AVENUE,10457,10457
CROSS BX EXPWY SER RD,MORRIS AVENUE,WEEKS AVENUE,914,,CROSS+BX+EXPWY+SER+RD+%26+MORRIS+AVENUE,CROSS+BX+EXPWY+SER+RD+%26+WEEKS+AVENUE,CTYPE,CTYPE
CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,915,,CROSS+ISLAND+PARKWAY+%26+107+AVENUE,CROSS+ISLAND+PARKWAY+%26+115+AVENUE,11429,11411
CROSS ISLAND PARKWAY,87 AVENUE,88 AVENUE,916,,CROSS+ISLAND+PARKWAY+%26+87+AVENUE,CROSS+ISLAND+PARKWAY+%26+88+AVENUE,11426,11426
CROSS ISLAND PARKWAY,50 AVENUE,53 AVENUE,917,,CROSS+ISLAND+PARKWAY+%26+50+AVENUE,CROSS+ISLAND+PARKWAY+%26+53+AVENUE,CTYPE,CTYPE
CROSS ISLAND PARKWAY,70 AVENUE,244 STREET,918,,CROSS+ISLAND+PARKWAY+%26+70+AVENUE,CROSS+ISLAND+PARKWAY+%26+244+STREET,CTYPE,11426
CROSS ISLAND PARKWAY,164 STREET,165 STREET,919,,CROSS+ISLAND+PARKWAY+%26+164+STREET,CROSS+ISLAND+PARKWAY+%26+165+STREET,11357,11357
CROSS ISLAND PARKWAY,114 TERRACE,115 AVENUE,920,,CROSS+ISLAND+PARKWAY+%26+114+TERRACE,CROSS+ISLAND+PARKWAY+%26+115+AVENUE,11411,11411
CROSS ISLAND PARKWAY SR,87 AVENUE,88 AVENUE,921,,CROSS+ISLAND+PARKWAY+SR+%26+87+AVENUE,CROSS+ISLAND+PARKWAY+SR+%26+88+AVENUE,CTYPE,CTYPE
CROSS ISLAND PKWY SR,107 AVENUE,115 AVENUE,922,,CROSS+ISLAND+PKWY+SR+%26+107+AVENUE,CROSS+ISLAND+PKWY+SR+%26+115+AVENUE,CTYPE,CTYPE
